280 39060.0
0 1 20.0
0 2 24.0832
0 3 32.9848
0 4 32.9848
0 5 42.7551
0 6 55.7136
0 7 63.2456
0 8 61.1882
0 9 70.8802
0 10 78.5875
0 11 86.3481
0 12 94.1488
0 13 101.9804
0 14 92.7793
0 15 100.08
0 16 116.0689
0 17 124.0645
0 18 132.0606
0 19 140.0571
0 20 148.054
0 21 141.4214
0 22 125.6025
0 23 117.7115
0 24 133.5066
0 25 149.3452
0 26 157.2768
0 27 165.215
0 28 172.4181
0 29 184.0435
0 30 184.3909
0 31 185.0838
0 32 198.6454
0 33 208.1538
0 34 224.1428
0 35 224.5707
0 36 232.8605
0 37 232.3101
0 38 232.0345
0 39 232.0345
0 40 232.3101
0 41 232.8605
0 42 233.6835
0 43 249.5756
0 44 248.8051
0 45 248.2902
0 46 248.0323
0 47 248.0323
0 48 248.2902
0 49 248.8051
0 50 256.7801
0 51 256.2811
0 52 256.0312
0 53 256.0312
0 54 256.2811
0 55 256.7801
0 56 257.5267
0 57 258.5189
0 58 250.5993
0 59 234.7765
0 60 236.1356
0 61 245.153
0 62 252.9901
0 63 261.2279
0 64 262.9373
0 65 270.7323
0 66 276.926
0 67 274.9254
0 68 282.8427
0 69 284.7876
0 70 286.3564
0 71 288.1389
0 72 290.131
0 73 292.3286
0 74 294.727
0 75 287.1376
0 76 297.3214
0 77 300.1066
0 78 283.7464
0 79 277.8489
0 80 274.8381
0 81 272.0294
0 82 269.429
0 83 267.0431
0 84 264.8773
0 85 256.632
0 86 259.3839
0 87 262.4881
0 88 266.6608
0 89 266.0301
0 90 269.3177
0 91 272.8003
0 92 284.4503
0 93 291.671
0 94 298.9314
0 95 302.3376
0 96 295.161
0 97 288.0278
0 98 280.3212
0 99 270.9686
0 100 266.9232
0 101 263.0589
0 102 259.3839
0 103 255.9062
0 104 248.6765
0 105 241.4953
0 106 238.0252
0 107 252.6341
0 108 259.2373
0 109 249.5756
0 110 246.7387
0 111 254.9431
0 112 251.7459
0 113 244.1311
0 114 241.7602
0 115 248.9096
0 116 239.6331
0 117 237.7562
0 118 191.2067
0 119 189.1877
0 120 187.4887
0 121 186.1182
0 122 185.0838
0 123 184.3909
0 124 184.0435
0 125 172.0465
0 126 164.0488
0 127 156.0513
0 128 156.4609
0 129 148.4857
0 130 140.5133
0 131 132.5443
0 132 124.5793
0 133 118.4567
0 134 120.3329
0 135 122.7029
0 136 125.5388
0 137 128.8099
0 138 132.484
0 139 125.5388
0 140 129.7998
0 141 134.4024
0 142 139.3126
0 143 144.4991
0 144 150.5722
0 145 145.6022
0 146 140.9113
0 147 136.5284
0 148 141.4214
0 149 153.9351
0 150 176.0454
0 151 173.2974
0 152 168.8076
0 153 165.7468
0 154 167.0928
0 155 170.8801
0 156 193.5355
0 157 196.1632
0 158 199.0779
0 159 202.2672
0 160 209.4182
0 161 213.3542
0 162 217.5132
0 163 221.8829
0 164 226.4509
0 165 240.8651
0 166 250.7269
0 167 257.4024
0 168 257.9922
0 169 249.0622
0 170 242.157
0 171 242.157
0 172 234.3672
0 173 223.6068
0 174 205.7183
0 175 182.4719
0 176 179.1089
0 177 170.1764
