130 8385.0
0 1 119.0965
0 2 169.6463
0 3 248.2964
0 4 161.4155
0 5 507.8132
0 6 295.5912
0 7 199.7214
0 8 543.8991
0 9 430.4597
0 10 164.898
0 11 382.8129
0 12 409.2426
0 13 424.7636
0 14 272.595
0 15 87.8305
0 16 155.9554
0 17 187.4354
0 18 225.61
0 19 200.9438
0 20 249.1815
0 21 301.2723
0 22 331.1591
0 23 284.8058
0 24 354.111
0 25 243.887
0 26 201.6107
0 27 220.9657
0 28 304.4507
0 29 242.0623
0 30 175.5119
0 31 404.1908
0 32 265.4284
0 33 149.1373
0 34 197.8293
0 35 417.0094
0 36 299.5438
0 37 330.6568
0 38 65.2713
0 39 319.4124
0 40 37.489
0 41 325.1946
0 42 206.7296
0 43 313.1443
0 44 97.8148
0 45 180.5383
0 46 318.5516
0 47 348.3966
0 48 393.9713
0 49 104.8167
0 50 368.6749
0 51 527.7669
0 52 376.2861
0 53 174.4884
0 54 388.3853
0 55 505.1868
0 56 537.2561
0 57 388.1283
0 58 270.0859
0 59 381.6669
0 60 168.4033
0 61 135.758
0 62 271.2841
0 63 281.8371
0 64 475.3053
0 65 388.9028
0 66 411.3797
0 67 299.9563
0 68 304.3033
0 69 241.7372
0 70 65.5611
0 71 452.1078
0 72 465.2912
0 73 504.3326
0 74 508.0437
0 75 127.4234
0 76 401.782
0 77 355.2646
0 78 301.8443
0 79 169.6605
0 80 383.6737
0 81 553.1644
0 82 188.8029
0 83 419.1987
0 84 344.7396
0 85 355.5037
0 86 382.3179
0 87 307.7425
0 88 303.524
0 89 319.6646
0 90 526.7561
0 91 403.3341
0 92 262.7239
0 93 342.2643
0 94 302.2881
0 95 400.7587
0 96 251.0039
0 97 321.0611
0 98 498.8532
0 99 226.9357
0 100 586.9433
0 101 523.239
0 102 419.9685
0 103 173.5069
0 104 115.6015
0 105 327.3399
0 106 184.8528
0 107 197.405
0 108 160.1738
0 109 297.3386
0 110 587.9854
0 111 121.338
0 112 394.4515
0 113 197.1321
0 114 187.3359
0 115 274.1422
0 116 120.9915
0 117 174.7331
0 118 459.3031
0 119 391.3724
0 120 303.4903
0 121 380.1251
0 122 589.1388
0 123 202.8872
0 124 321.6509
0 125 235.0937
0 126 150.409
0 127 89.7601
0 128 166.5693
0 129 81.6422
1 2 139.1918
1 3 130.3705
1 4 274.6303
1 5 390.3451
1 6 365.4475
1 7 137.5669
1 8 467.8452
1 9 323.2649
1 10 282.241
1 11 309.0041
1 12 313.0769
1 13 317.65
1 14 230.1339
1 15 191.2066
1 16 112.5454
1 17 109.0975
1 18 198.1612
1 19 86.7485
1 20 157.4865
1 21 192.2968
1 22 224.1072
1 23 229.8687
1 24 374.8747
1 25 327.1324
