666 221445.0
0 1 157.599
0 2 149.6173
0 3 152.2915
0 4 137.9843
0 5 129.6693
0 6 119.0674
0 7 120.5241
0 8 111.702
0 9 112.9398
0 10 105.1869
0 11 99.2451
0 12 91.9233
0 13 87.6969
0 14 85.8834
0 15 83.3908
0 16 78.069
0 17 67.5928
0 18 129.4257
0 19 124.7302
0 20 131.8386
0 21 133.045
0 22 130.7366
0 23 130.4775
0 24 122.0375
0 25 125.5926
0 26 116.5522
0 27 119.7517
0 28 121.3494
0 29 101.8327
0 30 103.6111
0 31 107.3265
0 32 107.2536
0 33 111.6488
0 34 112.3303
0 35 112.8359
0 36 99.3586
0 37 99.923
0 38 103.9647
0 39 105.459
0 40 108.4582
0 41 95.8062
0 42 94.2023
0 43 98.5041
0 44 101.4524
0 45 85.6187
0 46 89.0767
0 47 90.4361
0 48 92.6211
0 49 101.005
0 50 102.8816
0 51 100.8954
0 52 122.6525
0 53 121.8394
0 54 119.2107
0 55 118.8046
0 56 121.3677
0 57 124.4765
0 58 121.7613
0 59 121.0961
0 60 119.606
0 61 123.7376
0 62 120.9271
0 63 117.5105
0 64 113.1642
0 65 114.2385
0 66 117.7891
0 67 117.5026
0 68 115.5791
0 69 116.169
0 70 116.34
0 71 113.67
0 72 106.0114
0 73 104.5198
0 74 102.9434
0 75 105.039
0 76 101.7392
0 77 99.8978
0 78 97.5141
0 79 97.2035
0 80 97.1831
0 81 100.4822
0 82 103.8033
0 83 100.1241
0 84 100.8775
0 85 101.7408
0 86 103.838
0 87 106.9104
0 88 108.8725
0 89 112.7317
0 90 113.2149
0 91 115.5219
0 92 128.3898
0 93 119.3914
0 94 120.4051
0 95 121.6662
0 96 118.6832
0 97 125.944
0 98 127.8426
0 99 125.6904
0 100 127.9645
0 101 126.2376
0 102 124.6337
0 103 127.4407
0 104 133.3827
0 105 141.9565
0 106 146.0672
0 107 159.537
0 108 152.6664
0 109 142.6863
0 110 140.2524
0 111 136.5639
0 112 137.3346
0 113 136.6439
0 114 137.1467
0 115 140.3727
0 116 133.461
0 117 128.6724
0 118 130.4677
0 119 126.9164
0 120 125.2928
0 121 122.4402
0 122 120.5251
0 123 118.4295
0 124 117.8926
0 125 122.9454
0 126 119.3324
0 127 117.2078
0 128 115.6932
0 129 109.5097
0 130 103.937
0 131 101.7283
0 132 100.9755
0 133 104.1149
0 134 102.3291
0 135 103.2576
0 136 110.7479
0 137 117.1824
0 138 78.9687
0 139 63.7873
0 140 59.9469
0 141 59.1634
0 142 57.0852
0 143 56.3573
0 144 56.1363
0 145 54.7917
0 146 54.5717
0 147 53.6157
0 148 67.6479
0 149 54.1559
0 150 54.4665
0 151 56.5361
0 152 58.9366
0 153 61.2983
0 154 65.8746
0 155 67.0649
0 156 68.5259
0 157 67.5775
0 158 73.5364
0 159 79.7996
0 160 81.337
0 161 82.5826
0 162 80.6608
0 163 84.1404
0 164 89.6842
0 165 89.6716
0 166 73.6056
0 167 77.5453
0 168 78.4512
0 169 79.9769
0 170 73.6016
0 171 78.0212
0 172 80.2965
0 173 81.8
0 174 82.7515
0 175 84.4714
0 176 84.9052
0 177 83.6009
0 178 84.6701
0 179 83.9276
0 180 83.7435
0 181 77.791
0 182 76.7179
0 183 78.4404
0 184 79.5757
0 185 79.3662
0 186 83.7927
0 187 84.045
0 188 90.0306
0 189 86.9635
0 190 87.2164
0 191 87.7208
0 192 90.2474
0 193 95.3742
0 194 95.3955
0 195 91.7747
0 196 98.0967
0 197 93.151
0 198 97.7018
0 199 96.3715
0 200 95.4248
0 201 98.2013
0 202 98.9206
0 203 101.951
0 204 103.7536
0 205 104.1282
0 206 99.3528
0 207 103.6015
0 208 105.0055
0 209 106.2803
0 210 108.9546
0 211 113.6842
0 212 111.8888
0 213 111.1257
0 214 114.8028
0 215 120.0219
0 216 105.709
0 217 127.7435
0 218 113.4957
0 219 113.628
0 220 117.3555
0 221 117.2672
0 222 118.8205
0 223 119.4773
0 224 121.9394
0 225 123.3941
0 226 126.0476
0 227 126.1633
0 228 124.8862
0 229 121.2438
0 230 118.4117
0 231 113.377
0 232 124.1181
0 233 109.3726
0 234 58.3756
0 235 52.3633
0 236 49.5996
0 237 53.0653
0 238 54.0346
0 239 53.7383
0 240 52.9799
0 241 52.6592
0 242 51.7908
0 243 50.7205
0 244 48.8156
0 245 48.6229
0 246 49.8767
0 247 48.8114
0 248 46.921
0 249 47.4984
0 250 51.4754
0 251 50.7163
0 252 47.718
0 253 45.5013
0 254 46.657
0 255 47.1123
0 256 47.1256
0 257 47.1378
0 258 48.4746
0 259 44.5151
0 260 44.9405
0 261 44.7777
0 262 45.2271
0 263 41.9798
0 264 41.9737
0 265 42.8906
0 266 42.772
0 267 40.7001
0 268 41.5383
0 269 41.0473
0 270 43.1022
0 271 42.0379
0 272 42.3111
0 273 41.0938
0 274 39.9782
0 275 39.7227
0 276 39.7365
0 277 39.1207
0 278 39.1017
0 279 39.0982
0 280 38.6875
0 281 38.0518
0 282 38.2885
0 283 37.4094
0 284 39.9808
0 285 39.6
0 286 39.5001
0 287 38.8363
0 288 38.8012
0 289 38.7001
0 290 37.7298
0 291 36.8384
0 292 36.7629
0 293 36.793
0 294 36.525
0 295 35.4357
0 296 34.572
0 297 34.7189
0 298 33.8532
0 299 32.9632
0 300 29.9299
0 301 28.7258
0 302 39.3412
0 303 38.5225
0 304 37.3104
0 305 36.0794
0 306 35.7309
0 307 33.675
0 308 57.5879
0 309 69.8193
0 310 30.5394
0 311 27.7523
0 312 35.5468
0 313 37.062
0 314 37.0861
0 315 38.7064
0 316 28.6466
0 317 30.2207
0 318 31.8892
0 319 32.1932
0 320 34.5673
0 321 36.999
0 322 35.2746
0 323 35.6892
0 324 37.344
0 325 35.3907
0 326 36.2341
0 327 36.738
0 328 37.9226
0 329 37.9033
0 330 37.192
0 331 37.9221
0 332 39.1303
0 333 38.9221
0 334 39.6004
0 335 39.9479
0 336 39.9903
0 337 40.1833
0 338 39.9868
0 339 39.4147
0 340 39.4864
0 341 39.3494
0 342 39.371
0 343 39.3317
0 344 39.369
0 345 39.9064
0 346 40.9287
0 347 40.405
0 348 40.6824
0 349 41.4458
0 350 41.2225
0 351 41.388
0 352 40.804
0 353 41.6128
0 354 41.6325
0 355 42.1997
0 356 41.7904
0 357 42.5272
0 358 42.7273
0 359 43.4267
0 360 44.3006
0 361 44.1534
0 362 44.0326
0 363 43.2984
0 364 43.5717
0 365 44.29
0 366 44.4688
0 367 44.1586
0 368 44.8947
0 369 45.5837
0 370 45.5748
0 371 45.6405
0 372 46.0627
0 373 46.3666
0 374 46.5868
0 375 46.5458
0 376 47.0621
0 377 47.857
0 378 48.0458
0 379 51.5911
0 380 49.9942
0 381 51.4786
0 382 51.0875
0 383 51.6435
0 384 52.5947
0 385 54.1071
0 386 54.8096
0 387 53.5839
0 388 56.3087
0 389 39.4507
0 390 40.225
0 391 41.0742
0 392 41.2185
0 393 43.1025
0 394 43.2854
0 395 43.5373
0 396 42.4891
0 397 44.1387
0 398 44.5082
0 399 44.8201
0 400 42.6537
0 401 42.4187
0 402 44.3892
0 403 44.0358
0 404 45.253
0 405 46.641
0 406 46.7567
0 407 47.7356
0 408 47.5426
0 409 48.2331
0 410 49.307
0 411 49.4019
0 412 50.8766
0 413 50.6197
0 414 51.3195
0 415 52.6429
0 416 53.9619
0 417 46.24
0 418 47.0178
0 419 47.1674
0 420 49.4436
0 421 49.9345
0 422 49.8231
0 423 50.9332
0 424 52.8726
0 425 52.5518
0 426 52.9394
0 427 53.7882
0 428 54.3673
0 429 54.9499
0 430 54.2863
0 431 54.5078
0 432 56.1079
0 433 57.418
0 434 60.2706
0 435 64.1684
0 436 39.3842
0 437 47.7927
0 438 42.8512
0 439 39.2857
0 440 41.188
0 441 40.955
0 442 43.6026
0 443 45.572
0 444 47.0771
0 445 49.9796
0 446 53.2732
0 447 50.8795
0 448 55.4837
0 449 60.0212
0 450 62.2024
0 451 54.9433
0 452 53.915
0 453 54.202
0 454 56.5087
0 455 58.2316
0 456 60.7066
0 457 64.9957
0 458 65.8666
0 459 66.7196
0 460 70.2018
0 461 64.6283
0 462 69.0283
0 463 67.5209
0 464 90.4832
0 465 81.1733
0 466 89.6555
0 467 98.5473
0 468 83.5695
0 469 89.7657
0 470 84.66
0 471 83.5461
0 472 85.7743
0 473 98.9653
0 474 110.858
0 475 114.6763
0 476 119.4931
0 477 132.4553
0 478 179.1216
0 479 162.6519
0 480 153.5717
0 481 133.4047
0 482 142.6415
0 483 141.3598
0 484 148.8917
0 485 139.6698
0 486 56.7172
0 487 58.4117
0 488 60.0145
0 489 62.4944
0 490 62.6561
0 491 65.1166
0 492 66.0471
0 493 63.6048
0 494 65.4176
0 495 66.4384
0 496 67.2598
0 497 66.5954
0 498 68.4001
0 499 67.3146
0 500 67.4304
0 501 68.277
